"ARGUMENTS","ENG","FR","KEYDESC","KEYNAME","KIND"
"{0} = path; {1} = table name; {2} = function name","Get max_rows must be an integer (for LIMIT) \n\tpath: {0}\n\tTable name: {1}\n\tFunction: {2}","","Prints that LIMIT (max_rows) must be an integer","00-002-00033","ERROR"
"{0} = path; {1} = table name; {2} = function name","The column list must be same length as the value list\n\tpath: {0}\n\tTable name: {1}\n\tFunction: {2}","","Prints that column list must be same length as value list","00-002-00034","ERROR"
"{0} = path; {1} = table name; {2} = function name","The column to set must be a string\n\tpath: {0}\n\tTable name: {1}\n\tFunction: {2}","","Prints that column must be a string","00-002-00035","ERROR"
"{0} = path; {1} = table name; {2} = function name","field_names and field_types must be the same length\n\tpath: {0}\n\tTable name: {1}\n\tFunction: {2}","","Means field_names and field_types were not the same length","00-002-00036","ERROR"
"{0} = path; {1} = table name; {2} = function name","field_names must be strings\n\tpath: {0}\n\tTable name: {1}\n\tFunction: {2}","","Means that field_names were not all strings","00-002-00037","ERROR"
"{0} = path; {1} = table name; {2} = function name","field_types must be string or [int/float/str]\n\tpath: {0}\n\tTable name: {1}\n\tFunction: {2}","","Means that field_types were not strings/int/float","00-002-00038","ERROR"
"{0} = path; {1} = table name; {2} = function name","table 'name' must be a string\n\tpath: {0}\n\tTable name: {1}\n\tFunction: {2}","","Means that table name must be a string","00-002-00039","ERROR"
"{0} = Error type; {1} = error message; {2} = command executed; {3} = path; {4} = table name; {5} = function name","{0}: {1} \n\t Command: {2}\n\tpath: {3}\n\tTable name: {4}\n\tFunction: {5}","","Means that execute sql failed in colnames","00-002-00040","ERROR"
"{0} = path; {1} = table names; {2} = function name","The are multiple tables in the database. You must pick one -- table cannot be None\n\tpath: {0}\n\tTable names: {1}\n\tFunction: {2}","","Means there are multiple tables defined but the user did not pick a table to use","00-002-00041","ERROR"
"{0} = Error type; {1} = error message;{2} = path; {3} = table name; {4} = function name","Cannot convert command to astropy table \n\t{0}: {1}\n\tpath: {2}\n\tTable name: {3}\n\tFunction: {4}","","Means that we could not convert sql result to astropy table","00-002-00042","ERROR"
"{0} = Error type; {1} = error message; {2} = command executed; {3} =path; {4} = function name","{0}: {1} \n\t Command: {2} \n\t Path: {3}\n\tFunction: {4}","","Means that sqlite connection failed","00-002-00043","ERROR"
"None","Cannot import mysql.connector \n\t Please install with 'pip install mysql-connector-python'\n\tpath: {0}\n\tFunction: {1}","","Means mysql.connector was not installed","00-002-00044","ERROR"
"{0} = Error type; {1} = error message; {2} = command executed; {3} = path; {4} = table name; {5} = function name","{0}: {1} \n\t Command: {2}\n\tpath: {3}\n\tTable name: {4}\n\tFunction: {5}","","Means that mysql connection failed","00-002-00045","ERROR"
"None","'if_exists' must be either 'fail', 'replace' or 'append'","","Means that 'if_exists' was incorrect","00-002-00046","ERROR"
"{0} = Error type; {1} = error message; {2} = path; {3} = table name; {4} = function name","Pandas.to_sql {0}: {1} \n\tpath: {0}\n\tTable name: {1}\n\tFunction: {2}","","Means that pandas.to_sql failed","00-002-00047","ERROR"
"{0} = command used; {1} = path;{2} = function name","Could not read SQL command as pandas table \n\tCommand = {0} \n\tpath: {1}\n\tFunction: {2}","","Means that we could not read sql command","00-002-00048","ERROR"
"{0} = database name; {1} = path; {2} = function name","Database kind '{0}' is invalid\n\tpath: {1}\n\tFunction:{2}","","Means the database name entered is invalid","00-002-00049","ERROR"
"{0} = database name; {1} = error type; {2} = error message; {3} = path; {4} = function name","MySQL database = '{0}' could not be created. \n\t Error {1}: {2}\n\tpath:{3}\n\tFunction:{4}","","Means that MySQL database could not be created","00-002-00050","ERROR"
"{0} = hostname; {1} = username; {2} = password","Problem connection to database. Invalid parameters: \n\t- host='{0}'\n\t- username='{1}'\n\t- passwd='{2}'","","Means that MySql database could not be connected to","00-002-00051","ERROR"
"{0} = columns name; {1} = table name; {2} = groupname; {3} = path; {4} = function name","Index group error. Column {0} not in {1} (Group {2}) \n\t path: {3} \n\t Function : {4}","","Means that column not ground in index group","00-002-00052","ERROR"
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"None","Dev Error: Constant Error","","Dev Constant Errors","00-003-00000","ERROR"
"{0} = constant name; {1} = function name where called","Parameter '{0}' was not found in constants parameter dictionary. \n\t function = {1}","","Means constant was not found in constant parameter dictionary","00-003-00001","ERROR"
"{0} = value; {1} = Error type; {2} = Error message; {3} = function name","Parameter '{0}' can not be converted to a list. \n\t Error {1}: {2}. \n\t function = {3}","","Means that parameter value could not be converted to a list","00-003-00002","ERROR"
"{0} = value; {1} = Error type; {2} = Error message; {3} = function name","Parameter '{0}' can not be converted to a dictionary. \n\t Error {1}: {2}. \n\t function = {3}","","Means that parameter value could not be converted to a dictionary","00-003-00003","ERROR"
"{0} = function name","Pcheck: 'key' and 'name' were both unset, at least one value must be set. \n\t Function = {0}","","Means that key and name were not set in find_param (pcheck)","00-003-00004","ERROR"
"{0} = config directory; {1} = config directory path","Folder '{0}' does not exist in {1}","","Means that config folder does not exist on disk","00-003-00005","ERROR"
"{0} = constant key; {1} = instrument; {2} = module list; {3} = function name","Duplicate Const parameter '{0}' for instrument '{1}' \n\t Module list: {2} \n\t Function = {3}","","Means that there was a duplicated constant parameter","00-003-00006","ERROR"
"{0} = function name","Must define new source when copying a Constant \n\t Syntax: Constant.copy(source) \n\t where 'source' is a string \n\t Function = {0}","","Means that source was not defined when copying a constant (it must be)","00-003-00007","ERROR"
"{0} = function name","Must define new source when copying a Keyword \n\t Syntax: Keyword.copy(source) \n\t where 'source' is a string \n\t Function = {0}","","Means that source was not defined when copying a keyword (it must be)","00-003-00008","ERROR"
"{0} = parameter name; {1} = data type; {2} = data value; {3} = input config file; {4} = function name","Parameter '{0}' must be a string. \n\t Type: '{1}' \n\t Value: '{2}' \n\t Config File = '{3}' \n\t Function = {4}","","Means that dtype was meant to be a path and a string","00-003-00009","ERROR"
"{0} = key name; {1} = value of constant (path); {2} = function name","Const validate error - Key {0}: Path does not exist '{1}' \n\t Function = {2}","","Means that dtype was meant to be a path but path was not found","00-003-00010","ERROR"
"{0} = key name; {1} = value; {2} = config file; {3} = function name","Parameter '{0}' should be a list not a string. \n\t Value = {1} \n\t Config File = '{2}' \n\t Function = {3}","","Means that dtype was meant to be a list and not a string","00-003-00011","ERROR"
"{0} = key name; {1} = expected dtype; {2} = data value; {3} = data type; {4} = error type; {5} = error message; {6} = config file; {7} = function name","Parameter '{0}' dtype is incorrect.  Expected '{1}' value='{2}' (dtype={3})  \n\t Error {4}: {5} \n\t Config File = {6} \n\t Function = {7}","","Means that dtype was not correct for what was given in constants definition","00-003-00012","ERROR"
"{0} = key name; {1} = config file; {2} = function name","Parameter '{0}' dtype not set \n\t Config File = {1} \n\t Function = {2}","","Means that dtype was not set","00-003-00013","ERROR"
"{0} = key name; {1} = list of dtypes; {2} = config file; {3} = function name","Parameter '{0}' dtype is incorrect. Must be one of the following: \n\t {1} \n\t Config file: {2} \n\t function = {3}","","Means that dtype wave not a simple data type (allowed listed)","00-003-00014","ERROR"
"{0} = key name; {1} = config file; {2} = function name","Parameter '{0}' value is not set. \n\t Config file = '{1}' \n\t Function = {2}","","Means that data value is not set","00-003-00015","ERROR"
"{0} = key name; {1} = current value; {2} = config file; {3} = function name","Parameter '{0}' must be True or False or 1 or 0 \n\t Current value: '{1}' \n\t Config file: {2} \n\t Function = {3}","","Means that dtype must be boolean (True of False)","00-003-00016","ERROR"
"{0} = key name; {1} = options; {2} = current value; {3} = config file; {4} = function name","Parameter '{0}' value is incorrect. \n\t Options are: {1} \n\t Current value: '{2}' \n\t Config File = {3} \n\t Function = {4}","","Means that the value was not found in options","00-003-00017","ERROR"
"{0} = key name; {1} = limit; {2} = current value; {3} = config file; {4} = function name","Parameter '{0}' too large. \n\t Value must be less than {1} \n\t Current value: {2} \n\t Config File = {3} \n\t Function = {4}","","Means that value exceed maximum allowed value","00-003-00018","ERROR"
"{0} = key name; {1} = limit; {2} = current value; {3} = config file; {4} = function name","Parameter '{0}' too small. \n\t Value must be greater than {1} \n\t Current value: {2} \n\t Config File = {3} \n\t Function = {4}","","Means that value exceed minimum allowed value","00-003-00019","ERROR"
"{0} = config file; {1} = function name","Invalid character(s) found in file = {0} \n\t Function = {1}","","Means that invalid character(s) were found in file","00-003-00020","ERROR"
"{0} = line number; {1} = character","\t\t Line {0}: character = '{1}'","","Line and char reference for 00-003-00020","00-003-00021","ERROR"
"{0} = line number; {1} = config file; {2} = line value; {3} =  function name","Wrong format for line {0} in file {1} \n\t Line {0}: {2} \n\t Lines must be in format: 'key = value' \n\t where 'key' and 'value' are valid python strings containing no equal signs \n\t Function = {3}","","Means that the wrong line format was present in config file","00-003-00022","ERROR"
"{0} = config file; {1} = function name","No valid lines found in file: {0} \n\t Function = {1}","","Means that there were no valid lines found in config file","00-003-00023","ERROR"
"{0} = parameter name","ParamDict Error: Parameter '{0}' not found in parameter dictionary","","Means that parameter was not found in parameter dictionary","00-003-00024","ERROR"
"{0} = parameter name; {1} = parameter value","ParamDict locked. \n\t Cannot add '{0}'='{1}'","","Means that parameter dictionary is locked and cannot add key","00-003-00025","ERROR"
"{0} = parameter name","ParamDict Error: Source cannot be added for key '{0}' \n\t '{0}' is not in parameter dictionary","","Means that source cannot be added for key as key is not in parameter dictionary","00-003-00026","ERROR"
"{0} = parameter name","ParamDict Error: Instance cannot be added for key '{0}' \n\t '{0} is not in parameter dictionary","","Means that instance cannot be added for key as key is not in parameter dictionary","00-003-00027","ERROR"
"{0} = parameter name","ParamDict Error: No source set for key={0}","","Means that no source was set for this key when trying to use get_source","00-003-00028","ERROR"
"{0} = parameter name","ParamDict Error: No instance set for key={0}","","Means that no instance was set for this key when trying to use get_instance","00-003-00029","ERROR"
"{0} = parameter name","ParamDict Error: parameter '{0}' not found in parameter dictionary (via listp)","","Means that parameter was not found in parameter dictionary (via listp)","00-003-00030","ERROR"
"{0} = parameter name","ParamDict Error: parameter '{0}' not found in parameter dictionary (via dictp)","","Means that parameter was not found in parameter dictionary (via dictp)","00-003-00031","ERROR"
"{0} = parameter name","ParamDict Error: parameter '{0}' must be a string to convert (via listp)","","Means that listp was used but parameter was not a string -> cannot go to list from string","00-003-00032","ERROR"
"{0} = parameter name","ParamDict Error: parameter '{0}' must be a string to convert (via dictp)","","Means that dictp was used but parameter was not a string -> cannot go to a dict","00-003-00033","ERROR"
"{0} = class name; {1} = constant/keyword name","{0} Error: must set source for {0}:{1}","","Means source is not set when constructing Const/Keyword","00-003-00034","ERROR"
"{0} = key name","Keyword instance '{0}' must have parameter 'key' set","","Means Keyword instance does not have a key set","00-003-00035","ERROR"
"{0} = directory name; {1} = valid config files; {2} = function name","User config defined but directory = '{0}' has not config files \n\t Valid config files: {1}","","Means user config defined but directory has not config files","00-003-00036","ERROR"
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"None","Dev Error: Deprecated Error","","Dev Indexing/IO/Path Errors","00-004-00000","ERROR"
"{0} = kwarg; {1} = path; {2} = function name","Could not find files. Kwarg='{0}' does not exist in index files. \n\t path = {1} \n\t function = {2}","","Means that kwarg was not in expected index file columns ","00-004-00001","ERROR"
"{0} = kwarg; {1} = index file path; {2} = function name","Could not find files. Kwarg='{0}' does not exist in index file={1}. \n\t function = {2}","","Means that kwarg was not in index file","00-004-00002","ERROR"
"{0} = filename; {1} = function name; {2} = error type; {3} = error message","File '{0}' cannot be read by {1} \n\t Error {2}: {3}","","Means that config file cannot be read","00-004-00003","ERROR"
"{0} = filename; {1} = function name; {2} = error type; {3} = error message","File '{0}' cannot be written by {1} \n\t Error {2}: {3}","","Means that config file cannot be written to","00-004-00004","ERROR"
"{0} = input filename; {1} = output filename; {2} = function name","File '{0}' cannot be copied to '{1}'. Input file does not exist. \n\t Function = {2}","","Means that we could not copy file as input file does not exist","00-004-00005","ERROR"
"{0} = input filename; {1} = output filename; {2} = error type; {3} = error message; {4} = function name","File '{0}' cannot be copied to '{1}' \n\t Error {2}: {3} \n\t Function = {4}","","Means that we could not copy file exception was generated","00-004-00006","ERROR"
"None","DrsPath requires at least either abspath or block_kind or block_name","","Means DrsPath did not have the correct arguments","00-004-00007","ERROR"
"None","DrsPath does not have absolute path set","","Means DrsPath does not have abspath set","00-004-00008","ERROR"
"{0} = user set path; {1} = valid blocks","DrsPath abspath={0} must be relatied to a valid block. \n\t Valid blocks are: {1}","","Means DrsPath abspath is invalid (must be one of the block paths defined)","00-004-00009","ERROR"
"{0} = block path; {1} = valid blocks","DrsPath: {0} is not a valid block path. \n\t Valid blocks are: {1}","","Means that DrsPath block path is not valid","00-004-00010","ERROR"
"{0} = block kind; {1} = valid blocks","DrsPath: {0} is not a valid block kind. \n\t Valid blocks are: {1}","","Means that DrsPath block kind is not valid","00-004-00011","ERROR"
"{0} = function name","Filename must be set (self.filename) or given as argument (filename) \n\t Function = {0}","","Means that filename must be set or given before running get_infile_infilename","00-004-00012","ERROR"
"{0} = user given format","Argument fmt must be either image or table. fmt ={0}","","Means that fmt was not image or table","00-004-00013","ERROR"
"{0} = extension; {1} = filename; {2} = function name","Extension {0} not in file: {1} \n\t Function = {2}","","Means extension not in filename","00-004-00014","ERROR"
"","","","","00-004-00015","ERROR"
"","","","","00-004-00016","ERROR"
"","","","","",""
"","","","","",""
"None","Dev Error: Logging Error","","Dev Log Error","00-005-00000","ERROR"
"{0} = message input","Log Error: Message: '{0}' is not a valid log message","","Log error input 'message' is incorrect","00-005-00001","ERROR"
"{0} = input key; {1} = LOG_TRIG_KEYS()","Log Error: Key '{0}' is not in '{1}'","","Log error when 'key' is not found in LOG_TRIG_KEYS()","00-005-00002","ERROR"
"{0} = input key; {1} = WRITE_LEVEL()","Log Error: Key '{0}' is not in '{1}'","","Log error when 'key' is not found in WRITE_LEVEL()","00-005-00003","ERROR"
"{0} = input key; {1} = COLOUREDLEVEL()","Log Error: Key '{0}' is not in '{1}'","","Log error when 'key' is not found in COLOUREDLEVELS() ","00-005-00004","ERROR"
"{0} = current value of message","Log Error: 'message' must be a string or a list. \n\t Current value = '{0}'","","Means that 'message' is not a string or list","00-005-00005","ERROR"
"None","\n\n\tError found and running in DEBUG mode \n\n\t","\n\n\tErreur trouve et en cours d'excution en mode DEBUG \n\n\t","The debug title","00-005-00006","ERROR"
"None","\tEnter:\n\t\t1: ipython debugger \n\t\t2: python debugger \n\t\tAny other key: exit \n\n\t Note: ipython debugger requires 'ipdb' installed \n\n\t Choose '1', '2' or exit:","\tEntrer:\n\t\t1: ipython debugger \n\t\t2: python debugger \n\t\tToute autre cl: quitter \n\n\t Remarque: ipython debugger ncessite l'installation de 'ipdb' \n\n\t Choisissez: 1, 2 ou quitter:","The debug error message","00-005-00007","ERROR"
"None","\n\t ==== IPYTHON DEBUGGER ==== \n\n\t - type 'ipython()' to user %paste %cpaste \n\t - type 'list' to list code \n\t - type 'up' to go up a level \n\t - type 'interact' to go to an interactive shell \n\t - type 'print(variable)' to print a variable \n\t - type 'continue' to exit \n\t - type 'help' to see all commands \n\n\t ==================\n\n","\n\t ==== IPYTHON DEBUGGER ==== \n\n\t - tapez 'ipython()' pour l'utilisateur %paste et % cpaste  \n\t - tapez 'list' pour lister le code \n\t - tapez 'up' pour monter au niveau \n\t - tapez 'interact' pour aller  un shell interactifl \n\t -tapez 'print (variable)' pour imprimer une variable \n\t - tapez 'continue' quitter \n\t - tapez 'help' pour voir toutes les commandes \n\n\t ==================\n\n","IPYTHON interactive mode instructions","00-005-00008","ERROR"
"None","\n\t ==== PYTHON DEBUGGER ==== \n\n\t - type 'list' to list code \n\t - type 'up' to go up a level \n\t - type 'interact' to go to an interactive shell \n\t - type 'print(variable)' to print a variable \n\t - type 'continue' to exit \n\t - type 'help' to see all commands \n\n\t ==================\n\n","\n\t ==== DEBUGGER ==== \n\n\t - tapez 'list' pour lister le code \n\t - tapez 'up' pour monter au niveau \n\t - tapez 'interact' pour aller  un shell interactifl \n\t -tapez 'print (variable)' pour imprimer une variable \n\t - tapez 'continue' quitter \n\t - tapez 'help' pour voir toutes les commandes \n\n\t ==================\n\n","PYTHON interactive mode instructions","00-005-00009","ERROR"
"None","\n\n Code Exited","\n\n Code quitt","exit code","00-005-00010","ERROR"
"{0} = log level value; {1} = function called in","Log level '{0}' not in WRITE_LEVEL() \n\t function = {1}","","Means that 'level' was not in WRITE_LEVEL()","00-005-00011","ERROR"
"{0} = log level key; {1} = function called in","Log key '{0}' not in WRITE_LEVEL() \n\t function = {1}","","Means that 'key' was not in WRITE_LEVEL()","00-005-00012","ERROR"
"{0} = log colour key; {1} = function called in","Log colour key '{0}' not in COLOUREDLEVELS() \n\t function = {1}","","Means that colour level 'key' was not in COLOUREDLEVELS()","00-005-00013","ERROR"
"{0} = path to log","RecipeLogError: Cannot make path {0} for recipe log.","","Means that recipe log could not make log path","00-005-00014","ERROR"
"{0} = write path; {1} = error type; {2} = error message","RecipeLogError: Cannot write file {0} \n\t Error {1}: {2}","","Means that we could not write recipe log file","00-005-00015","ERROR"
"{0} = read path; {1} = error type; {2} = error message","RecipeLogError: Cannot read file {0} \n\t {1}: {2}","","Means that we could not read recipe log file","00-005-00016","ERROR"
"","","","","00-005-00017","ERROR"
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"None","Dev Error: Argument Error","","Dev Argument Error","00-006-00000","ERROR"
"{0} = argument name; {1} = program name","Cannot find input '{0}' for recipe '{1}'","","Cannot find input name in recipe definition (means there was a problem with 'recipe_setup' when parsing to argparse)","00-006-00001","ERROR"
"{0} = argument name; {1} = program name","Attribute 'default_ref' is unset for '{0}' for recipe '{1}'","","Means that we need a default reference but it is not defined","00-006-00002","ERROR"
"{0} = default reference key; {1} = argument name; {2} = program name","Attribute 'default_ref' is not found in constants for '{1}' for recipe '{2}'","","Means that the default reference (which has to also be in the constants parameter dictionary) is not present in constants parameter dictionary","00-006-00003","ERROR"
"{0} = Argument name; {1} = program/recipe name","Logic is wrong for argument '{0}' for recipe '{1}'. \n\t Must be 'exclusive' or 'inclusive'","","Means that logic was set incorrectly in recipe definition of argument","00-006-00004","ERROR"
"{0} = function name","Cannot have 'files' in both positional and optional args\n\tfunction = {0}","","Means that there were 'files' in both positional and optional arguments","00-006-00005","ERROR"
"{0} = kind; {1} = function name","Kind='{0}' not supported. \n\tfunction={1}","","Means that 'kind' was wrong for '_generate_arg_groups'  (used in generate_runs_from_filelist)","00-006-00006","ERROR"
"{0} = argument type ('Argument' or 'Keyword Argument'); {1} = argument name; {2} = function name","{0} '{1}' is not defined in call to function = {1}","","Means that the argument is a positional argument but was not defined at run time","00-006-00007","ERROR"
"{0} = current value of 'filelogic'","DrsArgument arg 'filelogic' must be equal to 'inclusive' or 'exclusive' only. \n\t Current value is '{0}'","","Means that DrsArgument arg 'filelogic' was st to an incorrect value (must be 'inclusive' or 'exclusive')","00-006-00008","ERROR"
"None","DrsArgument kwargs error: call to DrsArgument must have keyword 'default' or 'default_ref' when DrsArgumet kind is 'kwarg'","","Means that DrsArgument kwargs must contain either 'default_ref' or 'default' to be a valid keyword argument","00-006-00009","ERROR"
"{0} = list of valid dtypes; {1} current value for dtype","DrsArgument arg 'dtype' is not valid. Must be equal to one of the following: \n\t {0} \n\t Current value is '{1}'","","Means that DrsArgument arg 'dtype' was set incorrectly","00-006-00010","ERROR"
"{0} = Argument name; {1} = function error was generated in","Argument '{0}': not found in recipe.  \n\t function = {1}","","Means that argument was not matched to self.dest (in _CheckType._check_limits)","00-006-00011","ERROR"
"{0} = Argument name; {1} = minimum or maximum; {2} = current value of minimum/maximum {3} = Error type; {4} = Error message","Argument '{0}': The value '{1}'='{2}' cannot be used.  \n\t Error {3}: {4}","","Means that the ""{1}"" value for argument was not the correct dtype","00-006-00012","ERROR"
"{0} = value of sys.argv; {1} = type of sys.argv; {2} = function name","sys.argv was not a list. \n\t sys.argv = '{0}' \n\t type = '{1}' \n\t Function = {2}","","Means that there was a problem with sys.argv","00-006-00013","ERROR"
"{0} = value of sys.argv; {1} = value of str_arg_list; {2} = Error type; {3} = error message; {4} =  function name","Could not parse arguments to argparse. \n\t sys.argv = {0} \n\t call arguments = {1} \n\t Error {2}: {3} \n\t Function = {4}","","Means that we could not parse arguments to the argument parser","00-006-00014","ERROR"
"{0} = Argument name","Positional argument '{0}' cannot start with a '-'","","Means that positional argument started with a '-'","00-006-00015","ERROR"
"{0} = Argument name","Keyword argument '{0}' must start with a '-'","","Means that keyword argument did not start with a '-'","00-006-00016","ERROR"
"{0} = Argument name","Special argument '{0}' must start with a '-'","","Means that special argument did not start with a '-'","00-006-00017","ERROR"
"{0} = Argument name; {1} = Argument path value; {2} = function name","Argument '{0}': The 'path' was set but not a valid directory \n\t Current value = {1} \n\t Function = {2}","","Means that argument 'path' was set but not a valid path","00-006-00018","ERROR"
"{0} = Argument name; {1} = function name","Argument '{0}': dtype was set to 'file' or 'files' but the 'files' argument was not set \n\t Function = {1}","","Means that we have a 'file' or 'files' argument (in dtype) but files was not set","00-006-00019","ERROR"
"{0} = kind; {1} = function name","Cannot get {0} directory, requires valid directory (in force mode) or forced_dir to be set elsewise (both are set to None). \n\t Function = {1}","","Means we have to get input/output dir and do not have a directory so need to have one set by forced_dir but forced_dir is None","00-006-00020","ERROR"
"{0} = argument name; {1} = drs file instance; {2} = function name","Argument '{0}': tried to set 'files' attribute, however files attributes must be {1} \n\t Function = {2}","","Means files contained a file that was not a DrsInputfile instance","00-006-00021","ERROR"
"{0} = drs file name; {1} = key name; {2} = pseudo const func; {3} = allowed keys; {4} = function name","DrsFile: {0}  key ""{1}"" is not allowed in hkeys. \n\t Valid keys defined here: {2} \n\t Allowed keys: {3} \n\t Function = {4}","","Means that required header keys are not allowed (we have a list of allowed header keys in pseudo const FILEDEF_HEADER_KEYS)","00-006-00022","ERROR"
"{0} = argument error","{0}","","Argument error passed up the chain (no text)","00-006-00023","ERROR"
"{0} = first argument; {1} = drs file group; {2}  = function name","alldict[{0}][{1}] is not a valid astropy table (and not None) \n\t Function: {2}","","Means that alldict is not valid and we have a problem","00-006-00024","ERROR"
"{0} = function name","Cannot use group filter with more than 1 file argument","","Means we cannot use group function with more than 1 file argument","00-006-00025","ERROR"
"","","","","00-006-00026","ERROR"
"","","","","",""
"","","","","",""
"","","","","",""
"None","Dev Error: Recipe Definition Error","","Dev Error: Recipe / Recipe Definition Error","00-007-00000","ERROR"
"{0} = recipe name","No recipe named '{0}'","","Means that no recipe was found (recipe defintion name did not match the name given to input_setup","00-007-00001","ERROR"
"{0} = kind of dir; {1} = current value of dir (from recipe definition)","Problem with recipe definition: '{0}' directory must be either 'RAW', 'REDUCED', or 'TMP' \n\tCurrent value is='{1}'","","Means that 'inputdir' was not one of the required values (i.e. 'RAW', 'REDUCED', or 'TMP')","00-007-00002","ERROR"
"{0} = function name","No valid groups. Function={0}","","Means there were no valid groups for recipe","00-007-00003","ERROR"
"","","","","",""
"","","","","",""
"","","","","",""
"None","Dev Error: File Definition Error","","Dev Error: File/Path errors","00-008-00000","ERROR"
"{0} = package name; {1} = function name","Package name = '{0}' is invalid (function = {1})","","Means that package name was invalid for function","00-008-00001","ERROR"
"{0} = directory name; {1} = path; {2} = function name","Directory '{0}' does not exist in '{1}'. \n\t function = {2}","","Means that the data folder does not exist","00-008-00002","ERROR"
"{0} = filename; {1} = given format; {2} = list of allowed formats; {3} = function name","Read Error: For file '{0}' format='{1}' is incorrect. \n\t Allowed formats are: {2} \n\t function = {3}","","Means that wrong format was given for fits read function","00-008-00003","ERROR"
"{0} = Drs file instance; {1} = function name","File definition error: 'outfunc' must be set in file definition. \n\t File = {0} \n\t Function = {1}","","Means that 'outfunc' was not set but 'construct_filename' was called","00-008-00004","ERROR"
"{0} = drs fits filename; {1} = valid database names; {2} = function name","Database name not set for DrsFitsFile='{0}'  \n\t Must be {1} \n\t function = {2}","","Means that drs file does not have database name set","00-008-00005","ERROR"
"{0} = drs fits filename; {1} = current database value; {2} = valid database names; {3} = function name","Database name invalid for DrsFitsFile='{0}' (value='{1}') \n\t Must be {2} \n\t function = {3}","","Means that drs file does not have valid database name","00-008-00006","ERROR"
"{0} = drs fits filename; {1} = function name","Database key not set for DrsFitsFile='{0}'  \n\t function = {1}","","Means that drs file does not have database key set","00-008-00007","ERROR"
"{0} = error message; {1} = function name","Unit Conversion Error: {0} \n\t Function = {1}","","Means that there was a unit conversion error","00-008-00008","ERROR"
"{0} = error type; {1} = error message; {2} = function name","{0}: {1} \n\t Function = {2}","","Means that there was another unit error","00-008-00009","ERROR"
"{0} = time unit; {1} = function name","Time unit = '{0}' not supported. \n\t Must be 'hours' or 'days' or a astropy.unit time quantity. \n\t Function = {1}","","Means that the time units given were not supported","00-008-00010","ERROR"
"{0} = filetype; {1} = file defintion function; {2} = function name","No file of filetype '{0}' in function {1} \n\t Function = {2}","","Means that no file was found in that matched a file_definition","00-008-00011","ERROR"
"{0} = absolute file path; {1} = function name","No cavity file found. File = {0}. \n\t Function = {1}","","Means that the cavity file was not found (when trying to load it)","00-008-00012","ERROR"
"{0} = function name","NpyFile must have filename set. \n\t Function = {0}","","Means that filename was not set for drsfile.npyfile","00-008-00013","ERROR"
"{0} = filename; {1} = function name","NpyFile must have data set. \n\t Filename = {0} \n\t Function = {1}","","Means that data is not set for drsfile.npyfile","00-008-00014","ERROR"
"{0} = filename; {1} = function name","NpyFile could not read file. \n\t Filename = {0} \n\t Function = {1}","","Means there was a problem reading data for drsfile.npyfile","00-008-00015","ERROR"
"{0} = outfile name; {1} = function name","Output file = {0} has no attribute output_dict and therefore cannot be added to output_files. \n\t Function = {1}","","Means that add_output_file was used by outfile has no attribute output_dict and therefore cannot be added to output_files","00-008-00016","ERROR"
"{0} = current drs file kind; {1} = required drs file kind; {2} = constructed filename; {3} = function name","'infile' is not valid. Current infile='{0}' required infile='{1}' \n\t Constructed filename = {2} \n\t Function = {3}","","Means that construct file infile was not suitably defined (must have infile set)","00-008-00017","ERROR"
"{0} = error type; {1} = Error message; {2} = filename; {3} = function name","Could not load NPY file. \n\t Error {0}: {1} \n\t File = {2} \n\t Function = {3}","","Means that we could not load npy file","00-008-00018","ERROR"
"{0} = filename; {1} = format given; {2} = list of valid formats; {3} = function name","Error reading file, format was incorrect (fmt='{1}'). \n\t File = {0} \n\t Valid formats = {2} \n\t Function = {3}","","Means that defined format was incorrect","00-008-00019","ERROR"
"{0} = filename; {1} = Error type; {2} = Error message; {3} = function name","Could not save text file: {0} \n\t Error {1}: {2} \n\t Function = {3}","","Means that we could not save text file","00-008-00020","ERROR"
"{0} = database name; {1} = filename; {2} = function name","Could not copy file to {0} database. \n\t File = {1} \n\t Function = {2}","","Means that file copy to database dir failed","00-008-00021","ERROR"
"","","","","",""
"","","","","",""
"None","","","Dev Error: Indexing Error","00-009-00000","ERROR"
"{0} = index file name; {1} = Error name; {2} = Error message","Error opening index file: '{0}' \n\t Error was {1}: {2}","","Means that we couldn't open index file with astropy.Table","00-009-00001","ERROR"
"","","","","",""
"None","","","Dev Error: Math Errors","00-009-10000","ERROR"
"{0} = mode name","Mode '{0}' is not recognized for continuum fit","","Mode is not recognized for continuum fit","00-009-10001","ERROR"
"{0} = type(x)","x (data type: '{0}') must be an array/list/float/int","","Means sigfig x value is not an array/list/float or integer","00-009-10002","ERROR"
"{0} = axis name; {1} = dimension value; {2} = function name","{0} must be a factor of {1} \n\t Function = {2}","","Means medbin binning factor was not a factor of dimension","00-009-10003","ERROR"
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"None","","","Dev Error: Preprocessing","00-010-00000","ERROR"
